strategy,model,error_category,count,share
dimensionless_ratio_design,grok-4,under_specification,46,0.42592592592592593
dimensionless_ratio_design,grok-4,unknown_error,43,0.39814814814814814
dimensionless_ratio_design,grok-4,concept_confusion,10,0.09259259259259259
dimensionless_ratio_design,grok-4,noise_distraction,9,0.08333333333333333
halton_space_filling,Kimi-K2-Thinking,under_specification,11,0.8461538461538461
halton_space_filling,Kimi-K2-Thinking,concept_confusion,2,0.15384615384615385
halton_space_filling,claude-opus-4-6,concept_confusion,92,0.7796610169491526
halton_space_filling,claude-opus-4-6,under_specification,25,0.211864406779661
halton_space_filling,claude-opus-4-6,noise_distraction,1,0.00847457627118644
halton_space_filling,claude-sonnet-4-6-thinking,under_specification,188,0.94
halton_space_filling,claude-sonnet-4-6-thinking,concept_confusion,6,0.03
halton_space_filling,claude-sonnet-4-6-thinking,noise_distraction,6,0.03
halton_space_filling,deepseek-v4-pro,under_specification,8,0.7272727272727273
halton_space_filling,deepseek-v4-pro,concept_confusion,3,0.2727272727272727
halton_space_filling,gemini-3-flash-preview,under_specification,184,0.8803827751196173
halton_space_filling,gemini-3-flash-preview,concept_confusion,16,0.07655502392344497
halton_space_filling,gemini-3-flash-preview,noise_distraction,9,0.0430622009569378
halton_space_filling,gpt-4o,under_specification,121,0.49794238683127573
halton_space_filling,gpt-4o,concept_confusion,106,0.43621399176954734
halton_space_filling,gpt-4o,noise_distraction,16,0.06584362139917696
halton_space_filling,gpt-4o-mini,concept_confusion,155,0.7598039215686274
halton_space_filling,gpt-4o-mini,under_specification,29,0.14215686274509803
halton_space_filling,gpt-4o-mini,noise_distraction,16,0.0784313725490196
halton_space_filling,gpt-4o-mini,unknown_error,4,0.0196078431372549
halton_space_filling,gpt-5.5,under_specification,110,0.7534246575342466
halton_space_filling,gpt-5.5,noise_distraction,19,0.13013698630136986
halton_space_filling,gpt-5.5,concept_confusion,17,0.11643835616438356
halton_space_filling,grok-4,unknown_error,44,0.41904761904761906
halton_space_filling,grok-4,under_specification,35,0.3333333333333333
halton_space_filling,grok-4,concept_confusion,16,0.1523809523809524
halton_space_filling,grok-4,noise_distraction,10,0.09523809523809523
real_world_archetype_matrix,claude-opus-4-6,concept_confusion,59,0.6704545454545454
real_world_archetype_matrix,claude-opus-4-6,under_specification,28,0.3181818181818182
real_world_archetype_matrix,claude-opus-4-6,noise_distraction,1,0.011363636363636364
real_world_archetype_matrix,claude-sonnet-4-6-thinking,under_specification,154,0.9166666666666666
real_world_archetype_matrix,claude-sonnet-4-6-thinking,concept_confusion,7,0.041666666666666664
real_world_archetype_matrix,claude-sonnet-4-6-thinking,noise_distraction,7,0.041666666666666664
real_world_archetype_matrix,deepseek-v4-pro,under_specification,24,1.0
real_world_archetype_matrix,gemini-3-flash-preview,under_specification,206,1.0
real_world_archetype_matrix,gpt-4o,under_specification,120,0.5286343612334802
real_world_archetype_matrix,gpt-4o,concept_confusion,98,0.43171806167400884
real_world_archetype_matrix,gpt-4o,noise_distraction,9,0.039647577092511016
real_world_archetype_matrix,gpt-4o-mini,concept_confusion,117,0.7647058823529411
real_world_archetype_matrix,gpt-4o-mini,noise_distraction,17,0.1111111111111111
real_world_archetype_matrix,gpt-4o-mini,under_specification,17,0.1111111111111111
real_world_archetype_matrix,gpt-4o-mini,unknown_error,2,0.013071895424836602
real_world_archetype_matrix,gpt-5.5,under_specification,73,0.6517857142857143
real_world_archetype_matrix,gpt-5.5,noise_distraction,21,0.1875
real_world_archetype_matrix,gpt-5.5,concept_confusion,18,0.16071428571428573
real_world_archetype_matrix,grok-4,under_specification,49,0.5697674418604651
real_world_archetype_matrix,grok-4,unknown_error,26,0.3023255813953488
real_world_archetype_matrix,grok-4,noise_distraction,6,0.06976744186046512
real_world_archetype_matrix,grok-4,concept_confusion,5,0.05813953488372093
